date,symbol,side,currency,underlying,asset_type,price,quantity,commission,fees,stop_loss,profit_target,tags,notes,spread_id
2023-04-05T14:50:02-0400,ESM23,sell,USD,ES,future,4115.25,1.0,2.29,0.0,4118.25,4111.25,MRS (A),,gCy9FeIj
2023-04-05T15:16:23-0400,ESM23,buy,USD,ES,future,4111.25,1.0,2.29,0.0,4118.25,4111.25,MRS (A),,gCy9FeIj
2023-11-09T11:18:22-0500,MESZ23,sell,USD,MES,future,4403.25,1.0,0.77,0.0,4390.0,4403.25,MRL (A),,GeeGXfyy
2023-11-09T10:56:27-0500,MESZ23,buy,USD,MES,future,4394.0,2.0,1.54,0.0,4390.0,4403.25,MRL (A),,GeeGXfyy
2023-11-09T11:05:22-0500,MESZ23,sell,USD,MES,future,4398.0,1.0,0.77,0.0,4390.0,4403.25,MRL (A),,GeeGXfyy
2023-08-07T09:41:30-0400,ESU23,sell,USD,ES,future,4521.25,1.0,2.29,0.0,4521.25,4536.75,"ML (A+),OpenTrade",,Gh2bpsVH
2023-08-07T09:40:30-0400,ESU23,buy,USD,ES,future,4525.25,1.0,2.29,0.0,4521.25,4536.75,"ML (A+),OpenTrade",,Gh2bpsVH
2023-04-17T11:04:18-0400,ESM23,sell,USD,ES,future,4157.5,1.0,2.29,0.0,4157.5,4166.5,MRL (C),,GK1m97ZE
2023-04-17T11:00:05-0400,ESM23,buy,USD,ES,future,4161.25,1.0,2.29,0.0,4157.5,4166.5,MRL (C),,GK1m97ZE
2023-05-11T11:10:01-0400,MESM23,sell,USD,MES,future,4134.5,1.0,0.77,0.0,4139.25,4129.0,MRS (B),,GnPkMJV3
2023-05-11T11:22:42-0400,MESM23,buy,USD,MES,future,4135.75,1.0,0.77,0.0,4139.25,4129.0,MRS (B),,GnPkMJV3
2023-10-25T11:10:08-0400,MESZ23,sell,USD,MES,future,4244.25,2.0,1.54,0.0,4225.0,4243.0,MRL (B),<br>,Go4T7aPD
2023-10-25T10:33:40-0400,MESZ23,buy,USD,MES,future,4233.0,4.0,3.08,0.0,4225.0,4243.0,MRL (B),<br>,Go4T7aPD
2023-10-25T10:33:40-0400,MESZ23,buy,USD,MES,future,4233.0,4.0,3.08,0.0,4225.0,4243.0,MRL (B),<br>,Go4T7aPD
2023-10-25T10:46:35-0400,MESZ23,sell,USD,MES,future,4241.0,2.0,1.54,0.0,4225.0,4243.0,MRL (B),<br>,Go4T7aPD
2023-10-25T10:39:13-0400,MESZ23,sell,USD,MES,future,4232.25,4.0,3.08,0.0,4225.0,4243.0,MRL (B),<br>,Go4T7aPD
2023-05-08T03:55:36-0400,MESM23,buy,USD,MES,future,4151.75,3.0,2.31,0.0,4149.75,4162.0,ML (A+),,gO7Ujc4Y
2023-05-08T06:18:01-0400,MESM23,sell,USD,MES,future,4157.0,2.0,1.54,0.0,4149.75,4162.0,ML (A+),,gO7Ujc4Y
2023-05-08T08:33:49-0400,MESM23,sell,USD,MES,future,4158.75,1.0,0.77,0.0,4149.75,4162.0,ML (A+),,gO7Ujc4Y
2023-09-07T10:36:03-0400,MESU23,buy,USD,MES,future,4437.5,1.0,0.77,0.0,4432.5,4454.0,MRL (B),,gR6gglbY
2023-09-07T10:49:21-0400,MESU23,sell,USD,MES,future,4450.0,1.0,0.77,0.0,4432.5,4454.0,MRL (B),,gR6gglbY
2023-09-26T11:02:29-0400,MESZ23,sell,USD,MES,future,4335.0,4.0,3.08,0.0,4339.25,4324.0,MS (A+),<br>,gTZm8Fy3
2023-09-26T11:18:27-0400,MESZ23,buy,USD,MES,future,4330.0,1.0,0.77,0.0,4339.25,4324.0,MS (A+),<br>,gTZm8Fy3
